,HOST,IP
0,acrobatusers.com,104.22.77.88
1,adobe.com,92.123.106.51
2,adobe.io,52.202.204.11
3,adobecqms.net,23.22.0.43
4,adobelogin.com,192.147.130.204
5,assetsadobe.com,192.243.233.189
6,atomz.com,66.235.137.150
7,auditude.com,192.150.16.117
8,behance.net,151.101.193.197
9,bizible.com,104.18.191.233
10,bizibly.com,65.52.17.21
11,businesscatalyst.com,13.32.99.100
12,creativecloud.com,192.147.130.204
13,everestads.net,72.246.156.220
14,everestjs.net,72.246.156.220
15,everesttech.net,208.91.169.4
16,fotolia.com,193.164.220.226
17,fotolia.net,193.164.220.225
18,fyre.co,54.236.82.66
19,hitbox.com,64.154.86.13
20,livefyre.com,54.145.95.151
21,marketo.com,104.18.192.233
22,marketo.net,192.168.10.0
23,mktoresp.com,192.28.147.88
24,mktoutil.com,192.28.147.88
25,nedstat.net,192.168.1.1
26,photoshop.com,52.88.2.116
27,scene7.com,192.150.16.117
28,sitestat.com,192.168.1.1
29,ss-omtrdc.net,192.243.240.3
30,storify.com,18.66.180.67
31,tubemogul.com,151.101.66.49
32,typekit.com,44.195.230.96
33,typekit.net,216.146.46.10
34,worldsecuresystems.com,192.168.1.1
