,HOST,IP
0,abmr.net,2.18.100.95
1,akamai.com,23.32.242.105
2,gw-ec.com,183.57.41.198
3,securetve.com,80.67.64.116
4,imgs-akamai.mnstatic.com,151.101.114.133
5,shabby-akamai-cdn.azureedge.net,23.215.12.72
6,api.buienradar.nl.akamaized.net,212.252.126.138
7,api.money.it-v1.akamaized.net,92.123.106.18
8,asset.oceans-nadia.com.akamaized.net,92.123.106.10
9,assets.cybermonday.com.ar-v1.akamaized.net,92.123.106.40
10,autocasion.akamaized.net,92.123.106.19
11,images.bild.de.akamaized.net,92.123.106.50
12,baul.mediaset.es.akamaized.net,92.123.106.74
13,bsmedia.business-standard.com.akamaized.net,92.123.106.91
14,static.vocento.com.akamaized.net,92.123.106.89
15,cbpssubscriber.mygov.in.akamaized.net,92.123.106.41
16,cdn.akakce.com.akamaized.net,92.123.239.80
17,historia.nationalgeographic.com.es.akamaized.net,92.123.106.97
18,data.buienradar.nl.akamaized.net,212.252.126.139
19,deo.shopeemobile.com.akamaized.net,5.178.42.184
20,freefiremobile.com.akamaized.net,92.123.106.97
21,forecast.buienradar.nl.akamaized.net,212.252.126.138
22,graphdata.buienradar.nl.akamaized.net,212.252.126.121
23,standard-tls.warnermediacdn.akamaized.net,92.123.239.51
24,image.buienradar.nl.akamaized.net,92.123.106.51
25,imagemanager.b17g.services.akamaized.net,212.252.126.130
26,images.carid.com.akamaized.net,92.123.106.91
27,images.toolsid.com.akamaized.net,92.123.106.89
28,img.koket.se.akamaized.net,212.252.126.123
29,media-cdn.beamng.com.akamaized.net,92.123.106.41
30,media.brusselsairport.be.akamaized.net,92.123.106.11
31,medicion.mediaset.es.akamaized.net,92.123.106.66
32,nets.vocento.akamaized.net,92.123.106.35
33,photovideoapi.buienradar.nl.akamaized.net,212.252.126.131
34,screenshots.rtl.nl.akamaized.net,212.252.126.129
35,pmi.peoplemedia.com.akamaized.net,92.123.106.91
36,multimedia.akamaized.net,92.123.106.35
37,securecp.match.com.akamaized.net,92.123.106.74
38,images.match.com.akamaized.net,92.123.106.16
39,static-abc.akamaized.net,92.123.106.17
40,static-ppll.akamaized.net,92.123.106.58
41,static.mygov.in.akamaized.net,92.123.239.88
42,static.videoland.com-v1.akamaized.net,92.123.106.82
43,webtoon-phinf.pstatic.net.akamaized.net,92.123.48.194
