,HOST,IP
0,9apps.com,192.168.1.1
1,alibaba.com,47.246.136.125
2,alibabacloud.com,47.88.251.180
3,alibabagroup.com,198.11.188.71
4,alibabausercontent.com,140.205.77.240
5,alicdn.com,115.238.23.240
6,aliexpress.com,47.254.177.101
7,aliyun-inc.com,110.75.167.127
8,aliyun.com,106.11.172.51
9,aliyuncs.com,140.205.32.8
10,amap.com,182.92.251.86
11,autonavi.com,101.201.173.2
12,cnzz.com,203.119.169.41
13,dingtalk.com,106.11.35.100
14,lazada.co.id,47.89.92.197
15,lazada.co.th,47.89.75.205
16,lazada.com.my,47.89.88.80
17,lazada.com.ph,47.89.88.84
18,lazada.sg,47.89.75.205
19,lazada.vn,47.89.75.205
20,sm.cn,106.11.45.9
21,soku.com,106.11.47.19
22,tanx.com,106.11.223.92
23,taobao.com,140.205.220.96
24,tmall.com,140.205.94.193
25,tmall.ru,62.128.97.8
26,uc.cn,219.133.46.154
27,ucweb.com,157.185.188.1
28,uczzd.cn,140.205.29.254
29,umeng.com,123.57.253.206
30,ykimg.com,59.82.29.139
31,youku.com,106.11.40.57
