,HOST,IP
0,alexa.com,18.66.180.108
1,alexametrics.com,52.4.6.124
2,amazon.ca,54.239.18.172
3,amazon.co.jp,52.119.164.121
4,amazon.co.uk,54.239.33.58
5,amazon.com,205.251.242.103
6,amazon.com.au,52.119.174.16
7,amazon.com.br,52.94.225.243
8,amazon.com.mx,52.94.239.35
9,amazon.de,54.239.39.102
10,amazon.fr,52.95.116.113
11,amazon.in,52.95.120.67
12,amazon.it,52.95.120.36
13,amazon.jobs,54.239.39.208
14,amazonaws.com,72.21.206.80
15,amazonforum.com,18.66.180.117
16,amazonpay.com,52.94.224.136
17,amazonwebservices.com,72.21.206.80
18,assoc-amazon.co.uk,87.238.85.153
19,assoc-amazon.com,72.21.206.84
20,assoc-amazon.de,178.236.5.51
21,assoc-amazon.jp,207.171.181.140
22,audible.co.uk,52.95.118.37
23,audible.com,52.94.224.232
24,audible.de,54.239.33.67
25,awsevents.com,18.66.97.122
26,boxofficemojo.com,72.21.202.103
27,dpreview.com,18.66.180.39
28,elasticbeanstalk.com,52.217.196.69
29,graphiq.com,52.8.47.41
30,imdb.com,52.94.228.167
31,mturk.com,72.21.210.29
32,peer39.com,198.71.233.129
33,peer39.net,64.202.189.170
34,primevideo.com,18.66.97.123
35,ring.com,52.46.150.230
36,sizmek.com,52.222.214.69
37,twitch.tv,151.101.130.167
38,woot.com,34.204.59.1
39,zappos.com,35.163.241.93
40,alb-gesundheit-de-222952010.eu-central-1.elb.amazonaws.com,52.57.105.9
41,dualstack.alb-ir-first-party-1961909777.eu-west-1.elb.amazonaws.com,54.72.148.95
42,alb-public1-1203507305.eu-north-1.elb.amazonaws.com,13.49.181.137
43,aax-eu-retail-direct.amazon-adsystem.com,52.95.121.195
44,fls-eu.amazon.com,63.33.106.71
45,unagi-eu.amazon.com,52.95.127.127
46,d-u7ic8z9gb4.execute-api.eu-west-2.amazonaws.com,3.11.2.189
47,d-3a9wd7qz76.execute-api.us-west-2.amazonaws.com,52.38.158.158
