,HOST,IP
0,https://european-union.europa.eu,18.66.196.72
1,https://www.consilium.europa.eu,76.223.87.138
2,https://www.europarl.europa.eu,136.173.69.97
3,https://ec.europa.eu,147.67.210.30
4,https://curia.europa.eu,147.67.34.14
5,https://digital-strategy.ec.europa.eu,18.66.196.28
6,https://reopen.europa.eu,139.191.221.32
7,https://eeas.europa.eu,147.67.210.19
8,https://www.eib.org,31.204.90.79
9,https://www.eca.europa.eu,195.46.249.238
10,https://www.eesc.europa.eu,193.105.133.93
11,https://cor.europa.eu,176.65.73.94
12,https://www.ombudsman.europa.eu,136.173.69.97
13,https://edps.europa.eu,147.67.210.18
14,https://edpb.europa.eu,147.67.34.42
15,https://epso.europa.eu,147.67.34.22
16,https://op.europa.eu,52.236.157.91
17,https://berec.europa.eu,195.82.69.67
18,https://www.cedefop.europa.eu,95.217.98.75
19,https://www.cepol.europa.eu,95.216.233.20
20,https://cert.europa.eu,40.74.12.40
21,https://www.clean-aviation.eu,185.3.217.140
22,https://cpvo.europa.eu,93.20.31.235
23,https://www.eba.europa.eu,3.234.77.64
24,https://www.kdt-ju.europa.eu,3.234.77.64
25,https://www.efsa.europa.eu,3.234.77.64
26,https://www.eiopa.europa.eu,3.234.77.64
27,https://eit.europa.eu,20.52.26.245
28,https://www.ela.europa.eu,3.234.77.64
29,https://www.ema.europa.eu,3.234.77.64
30,https://www.emcdda.europa.eu,185.41.117.229
