,HOST,IP
0,accountkit.com,157.240.238.14
1,atdmt.com,65.242.27.40
2,atdmt2.com,157.240.238.14
3,atlassolutions.com,157.240.238.14
4,facebook.com,157.240.238.35
5,fb.com,157.240.238.35
6,fb.me,157.240.238.35
7,fbcdn.net,157.240.238.35
8,fbsbx.com,157.240.238.35
9,fbthirdpartypixel.com,157.240.238.14
10,flow.org,18.66.139.16
11,flowtype.org,18.66.112.13
12,graphql.org,75.2.60.5
13,instagr.am,157.240.238.174
14,instagr.com,157.240.238.14
15,instagram.com,157.240.238.174
16,liverail.com,157.240.238.14
17,m.me,157.240.238.14
18,about.facebook.com,157.240.238.35
19,messenger.com,157.240.238.14
20,oculus.com,157.240.238.54
21,reactjs.org,76.76.21.21
22,thefind.com,157.240.238.14
23,whatsapp.com,157.240.238.60
24,whatsapp.net,157.240.238.60
