,HOST,IP
0,braintreegateway.com,204.109.13.100
1,paypal-apps.com,72.52.10.14
2,paypal-brasil.com.br,52.7.68.253
3,paypal-community.com,64.4.250.39
4,paypal-deutschland.de,64.4.250.39
5,paypal-forward.com,72.52.10.14
6,paypal-france.fr,192.168.1.1
7,paypal-information.com,64.4.250.39
8,paypal-knowledge-test.com,64.4.250.14
9,paypal-knowledge.com,64.4.250.39
10,paypal-latam.com,64.4.250.38
11,paypal-marketing.pl,64.4.250.38
12,paypal-mena.com,64.4.250.39
13,paypal-nakit.com,193.41.225.80
14,paypal-prepagata.com,64.4.250.38
15,paypal-prepaid.com,64.28.105.9
16,paypal.at,64.4.250.38
17,paypal.be,64.4.250.38
18,paypal.ca,64.4.250.39
19,paypal.ch,64.4.250.39
20,paypal.cl,64.4.250.39
21,paypal.cn,203.107.52.128
22,paypal.co,64.4.250.39
23,paypal.co.id,64.4.250.39
24,paypal.co.il,64.4.250.39
25,paypal.co.in,64.4.250.39
26,paypal.co.kr,72.52.10.14
27,paypal.co.nz,64.4.250.38
28,paypal.co.th,64.4.250.39
29,paypal.co.uk,64.4.250.39
30,paypal.co.za,64.4.250.39
31,paypal.com,64.4.250.36
32,paypal.com.ar,64.4.250.38
33,paypal.com.au,64.4.250.39
34,paypal.com.br,64.4.250.38
35,paypal.com.hk,64.4.250.38
36,paypal.com.mx,64.4.250.39
37,paypal.com.my,64.4.250.38
38,paypal.com.pe,64.4.250.39
39,paypal.com.pt,72.52.10.14
40,paypal.com.sa,64.4.250.38
41,paypal.com.sg,64.4.250.39
42,paypal.com.tr,64.4.250.39
43,paypal.com.tw,64.4.250.38
44,paypal.com.ve,64.4.250.38
45,paypal.de,64.4.250.39
46,paypal.dk,64.4.250.38
47,paypal.es,64.4.250.39
48,paypal.eu,64.4.250.38
49,paypal.fi,64.4.250.39
50,paypal.fr,64.4.250.38
51,paypal.ie,64.4.250.39
52,paypal.it,64.4.250.38
53,paypal.jp,64.4.250.39
54,paypal.lu,64.4.250.39
55,paypal.me,64.4.250.36
56,paypal.nl,64.4.250.39
57,paypal.no,64.4.250.39
58,paypal.ph,64.4.250.38
59,paypal.pl,64.4.250.39
60,paypal.pt,64.4.250.39
61,paypal.ru,64.4.250.39
62,paypal.se,64.4.250.39
63,paypal.vn,64.4.250.39
64,paypalbenefits.com,151.101.66.216
65,paypalobjects.com,64.4.250.39
66,s-xoom.com,205.189.102.160
67,thepaypalblog.com,173.0.82.145
68,venmo.com,52.222.236.52
69,xoom.com,64.4.250.36
