,HOST,IP
0,acrobatusers.com,104.22.77.88
1,adobe.com,92.123.239.50
2,adobe.io,54.144.73.197
3,adobecqms.net,23.22.0.43
4,adobelogin.com,192.147.130.204
5,assetsadobe.com,192.243.233.189
6,atomz.com,66.235.137.150
7,auditude.com,192.150.16.117
8,behance.net,151.101.65.197
9,bizible.com,104.18.191.233
10,bizibly.com,65.52.17.21
11,businesscatalyst.com,18.66.180.118
12,creativecloud.com,192.147.130.204
13,everestads.net,72.246.156.220
14,everestjs.net,72.246.156.220
15,everesttech.net,208.91.169.4
16,fotolia.com,193.164.220.226
17,fotolia.net,193.164.220.225
18,fyre.co,54.236.82.66
19,hitbox.com,64.154.86.13
20,livefyre.com,54.144.101.134
21,marketo.com,104.18.192.233
22,marketo.net,192.168.10.0
23,mktoresp.com,192.28.147.88
24,mktoutil.com,192.28.147.88
25,nedstat.net,192.168.1.1
26,photoshop.com,52.34.242.242
27,scene7.com,192.150.16.117
28,sitestat.com,192.168.1.1
29,ss-omtrdc.net,192.243.240.3
30,storify.com,18.66.112.75
31,tubemogul.com,151.101.130.49
32,typekit.com,54.237.134.170
33,typekit.net,216.146.46.10
34,worldsecuresystems.com,192.168.1.1
35,abmr.net,23.50.173.10
36,akamai.com,23.32.242.105
37,gw-ec.com,183.57.41.198
38,securetve.com,80.67.64.115
39,imgs-akamai.mnstatic.com,151.101.114.133
40,shabby-akamai-cdn.azureedge.net,104.96.91.187
41,api.buienradar.nl.akamaized.net,23.6.112.59
42,api.money.it-v1.akamaized.net,92.123.106.18
43,asset.oceans-nadia.com.akamaized.net,92.123.239.88
44,assets.cybermonday.com.ar-v1.akamaized.net,23.215.190.162
45,autocasion.akamaized.net,23.215.190.168
46,images.bild.de.akamaized.net,92.123.106.73
47,baul.mediaset.es.akamaized.net,92.123.106.74
48,bsmedia.business-standard.com.akamaized.net,92.123.106.91
49,static.vocento.com.akamaized.net,23.215.190.161
50,cbpssubscriber.mygov.in.akamaized.net,92.123.106.75
51,cdn.akakce.com.akamaized.net,92.123.106.57
52,historia.nationalgeographic.com.es.akamaized.net,23.215.190.153
53,data.buienradar.nl.akamaized.net,212.252.126.137
54,deo.shopeemobile.com.akamaized.net,5.178.42.184
